id_ori,long_ori,lat_ori,long_des,lat_des,time_cost
o_4,116.42,39.93,114.88,40.82,4.41851055119107
o_4,116.42,39.93,112.75,37.68,5.42533381230152
o_2,113.82,22.88,113.94,22.83,1.79283680911144
o_2,113.82,22.88,118.09,24.49,28.1730169468178
o_2,113.82,22.88,114.88,40.82,31.7580739466675
o_2,113.82,22.88,104.09,30.67,29.0551298567269
o_3,114.08,22.88,113.98,22.84,1.33361962109896
o_1,104.04,31.32,103.79,28.49,15.703688044883
o_1,104.04,31.32,108.33,22.82,23.508332748705
o_1,104.04,31.32,102.67,28.04,8.95293627917338
o_1,104.04,31.32,116.43,39.92,21.8705402648822
o_1,104.04,31.32,104.26,30.88,1.7735114332441
o_5,119.13,36.96,116.62,40.34,11.2770605240828
o_5,119.13,36.96,118.71,39.99,12.1235911357927
o_5,119.13,36.96,106.49,29.88,26.1194248307475
o_5,119.13,36.96,116.98,36.68,5.43988432665275
o_5,119.13,36.96,109.36,24.31,26.3332872720966
